Obj1,Obj2,Obj3,Obj4,Obj5,Obj6,Obj7
22.4363 , 58 , 18 , 32.4 , 489.711 , 3 , 6
22.7972 , 59 , 18 , 32.4 , 476.063 , 3 , 6
20.76 , 60 , 18 , 32.4 , 544.055 , 3 , 6
20.64 , 59 , 18 , 32.4 , 571.383 , 3 , 6
20.76 , 59 , 18 , 32.4 , 550.055 , 3 , 6
23.6363 , 56 , 18 , 32.4 , 459.203 , 3 , 6
23.0172 , 57 , 18 , 32.4 , 472.903 , 3 , 6
23.0863 , 57 , 18 , 32.4 , 472.063 , 3 , 6
22.7972 , 56 , 18 , 32.4 , 482.063 , 3 , 6
22.9763 , 56 , 18 , 32.4 , 478.549 , 3 , 6
22.8772 , 56 , 18 , 32.4 , 478.885 , 3 , 6
23.0972 , 56 , 18 , 32.4 , 473.725 , 3 , 6
23.6363 , 56 , 18 , 33.2 , 455.203 , 3 , 6
22.966 , 52 , 16 , 32.4 , 439.676 , 5 , 6
19.59 , 56 , 16 , 32.4 , 495.671 , 5 , 6
19.7294 , 56 , 16 , 32.4 , 494.54 , 5 , 6
22.986 , 52 , 16 , 32.4 , 430.784 , 5 , 6
23.076 , 52 , 16 , 32.4 , 426.327 , 5 , 6
23.1451 , 52 , 16 , 32.4 , 425.487 , 5 , 6
19.59 , 53 , 16 , 32.4 , 499.671 , 5 , 6
19.27 , 51 , 16 , 32.4 , 554.401 , 5 , 6
19.59 , 51 , 16 , 32.4 , 507.671 , 5 , 6
19.33 , 51 , 16 , 32.4 , 544.737 , 5 , 6
19.47 , 51 , 16 , 32.4 , 526.999 , 5 , 6
23.4087 , 52 , 16 , 32.4 , 402.478 , 5 , 6
23.3153 , 52 , 16 , 32.4 , 412.21 , 5 , 6
23.9791 , 52 , 16 , 32.4 , 401.874 , 5 , 6
23.6087 , 52 , 16 , 32.4 , 402.21 , 5 , 6
23.3553 , 52 , 16 , 32.4 , 402.878 , 5 , 6
19.17 , 53 , 15 , 31.2 , 517.443 , 5 , 6
18.9622 , 52 , 15 , 32.4 , 550.173 , 5 , 6
19.2544 , 53 , 15 , 31.2 , 515.181 , 5 , 6
20.9867 , 52 , 15 , 32.4 , 453.823 , 5 , 6
19.17 , 52 , 15 , 32.4 , 509.443 , 5 , 6
19.2544 , 52 , 15 , 32.4 , 507.181 , 5 , 6
19.7344 , 52 , 15 , 32.4 , 489.981 , 5 , 6
20.1767 , 52 , 15 , 32.4 , 477.981 , 5 , 6
20.4344 , 52 , 15 , 32.4 , 474.219 , 5 , 6
20.4367 , 52 , 15 , 32.4 , 472.265 , 5 , 6
20.6348 , 52 , 15 , 32.4 , 471.929 , 5 , 6
20.8967 , 52 , 15 , 32.4 , 464.281 , 5 , 6
20.51 , 58 , 18 , 32.4 , 589.916 , 3 , 6
20.84 , 54 , 18 , 32.4 , 558.207 , 3 , 6
