Obj1,Obj2,Obj3,Obj4,Obj5,Obj6,Obj7,Obj8,Obj9,Obj10
0.44234,0.43323,0.41322,0.43091,0.46618,0.48843,0.48647,0.49149,0.47064,0.42831
0.41661,0.43361,0.37588,0.42455,0.49241,0.55512,0.52716,0.47785,0.47546,0.45396
0.43343,0.42691,0.41055,0.41328,0.45889,0.49806,0.49519,0.473,0.48024,0.44776
0.48059,0.47783,0.45552,0.4552,0.51924,0.43687,0.44439,0.42289,0.44441,0.41629
0.4724,0.47139,0.44261,0.44555,0.51399,0.4432,0.45515,0.43448,0.45722,0.41643
0.4783,0.4761,0.44575,0.45213,0.51736,0.44015,0.45147,0.43942,0.44225,0.40732
0.49048,0.5071,0.45668,0.47179,0.5538,0.43056,0.44313,0.41356,0.41915,0.38843
0.47746,0.46792,0.44782,0.45048,0.51528,0.46067,0.45122,0.42981,0.44048,0.41476
0.46703,0.46032,0.44187,0.43907,0.49538,0.44712,0.46196,0.44677,0.45535,0.42155
0.43471,0.41808,0.42194,0.42037,0.42519,0.47372,0.49658,0.47932,0.48495,0.45571
0.43606,0.42429,0.42416,0.42616,0.43086,0.47443,0.49207,0.47486,0.48277,0.45119
0.42721,0.42136,0.4127,0.41471,0.42225,0.47802,0.50552,0.48073,0.49762,0.44921
0.43737,0.42726,0.41988,0.43067,0.42696,0.4666,0.49729,0.48556,0.47521,0.44177
0.43513,0.43048,0.41941,0.43279,0.42792,0.46853,0.49543,0.48978,0.4834,0.43474
0.43795,0.4325,0.41816,0.43348,0.43151,0.46342,0.49531,0.49187,0.47856,0.43329
0.42538,0.42093,0.41164,0.43264,0.41982,0.48049,0.5123,0.47926,0.47634,0.46039
0.42421,0.43055,0.40196,0.43759,0.4122,0.47571,0.51584,0.4937,0.49628,0.43272
0.42091,0.41956,0.41386,0.44583,0.40633,0.47508,0.51945,0.51966,0.48134,0.42623
0.40124,0.43062,0.3984,0.43221,0.38503,0.48485,0.54877,0.49913,0.49089,0.44185
0.43545,0.42496,0.41948,0.4287,0.42913,0.48012,0.49593,0.4772,0.4789,0.44478
0.43252,0.42491,0.41879,0.42945,0.41887,0.47871,0.50081,0.48193,0.48223,0.44082
0.4368,0.43278,0.41945,0.43849,0.43186,0.47854,0.49606,0.48265,0.47218,0.43037
0.426,0.43191,0.41544,0.44058,0.41708,0.48963,0.50894,0.48121,0.47134,0.439
0.43357,0.42472,0.4148,0.41834,0.43621,0.48994,0.49765,0.47777,0.48173,0.44378
0.47761,0.46929,0.45937,0.46407,0.49219,0.43943,0.44808,0.43088,0.43837,0.41855
0.47624,0.46937,0.45248,0.4639,0.4869,0.439,0.45377,0.43828,0.44546,0.40437
0.48327,0.48291,0.4672,0.48251,0.48649,0.42518,0.44484,0.43885,0.43121,0.3893
0.48697,0.49835,0.46798,0.49019,0.49684,0.41933,0.44447,0.42818,0.42561,0.37708
0.47531,0.47088,0.45215,0.46616,0.48043,0.44235,0.45657,0.43801,0.4391,0.40456
0.49863,0.49546,0.47238,0.48835,0.51569,0.4239,0.4307,0.40944,0.42284,0.38503
0.45687,0.44549,0.44132,0.44503,0.45431,0.45148,0.47409,0.45978,0.45972,0.42681
0.45621,0.45243,0.44282,0.45105,0.45407,0.44859,0.47572,0.45524,0.4579,0.41981
0.45722,0.45024,0.44252,0.45237,0.44618,0.45062,0.47682,0.46011,0.45547,0.41894
0.46613,0.46051,0.44874,0.46337,0.45565,0.4431,0.46832,0.45028,0.44947,0.40928
0.4575,0.4511,0.44315,0.45301,0.44797,0.45206,0.47625,0.45803,0.45492,0.41741
0.47845,0.47536,0.45833,0.46988,0.48432,0.43501,0.45304,0.43391,0.43585,0.40003
0.44761,0.44066,0.43414,0.43819,0.44311,0.45775,0.48534,0.46528,0.46736,0.42963
0.41524,0.39652,0.40699,0.38888,0.4141,0.49078,0.51605,0.48905,0.50378,0.49546
0.38333,0.36102,0.38256,0.35552,0.38143,0.51711,0.54405,0.51987,0.54939,0.53219
0.39147,0.36939,0.38639,0.35978,0.37876,0.50603,0.53957,0.52441,0.55613,0.50687
0.40871,0.3978,0.40298,0.38438,0.40551,0.49343,0.52091,0.4987,0.52411,0.4749
0.3855,0.36072,0.3915,0.35994,0.3744,0.50991,0.54658,0.53018,0.52775,0.52861
0.35659,0.32651,0.38002,0.32478,0.33568,0.51907,0.57177,0.58542,0.58685,0.56149
0.39313,0.37555,0.38471,0.36731,0.38517,0.5045,0.53957,0.5245,0.54573,0.48998
0.39198,0.36468,0.39884,0.36385,0.36791,0.50039,0.54419,0.55417,0.52081,0.49811
0.39263,0.37338,0.39074,0.36923,0.38029,0.49812,0.54273,0.55023,0.52917,0.47853
0.41781,0.40187,0.41004,0.39549,0.40444,0.48048,0.52157,0.52216,0.49262,0.45168
0.35873,0.33175,0.37138,0.32953,0.34099,0.54881,0.58364,0.53326,0.55252,0.57901
0.30034,0.27827,0.36517,0.25971,0.26604,0.56986,0.66068,0.58777,0.65265,0.64437
0.35719,0.35375,0.36845,0.33847,0.34276,0.52518,0.57907,0.54727,0.58178,0.51374
0.2922,0.26465,0.34948,0.2742,0.22958,0.571,0.67243,0.65837,0.60274,0.59726
0.2889,0.2914,0.34817,0.28091,0.23517,0.54957,0.68316,0.68454,0.64479,0.54757
0.34843,0.33646,0.37201,0.34142,0.3121,0.51577,0.60192,0.61155,0.55667,0.5037
0.29407,0.29478,0.33677,0.27798,0.27412,0.57835,0.67342,0.59386,0.58428,0.59724
0.28863,0.31171,0.32848,0.28683,0.2478,0.5722,0.69099,0.60004,0.61478,0.55098
0.29409,0.31074,0.3257,0.30519,0.26087,0.55548,0.68831,0.64414,0.58336,0.52955
0.33018,0.35947,0.34777,0.32922,0.3276,0.53658,0.63999,0.56826,0.55265,0.49839
0.39268,0.36622,0.38758,0.35998,0.3901,0.52523,0.53686,0.51159,0.52911,0.52614
0.35489,0.32642,0.36359,0.31699,0.36002,0.57147,0.56867,0.53503,0.59374,0.57623
0.38986,0.37616,0.38848,0.36642,0.38147,0.51961,0.53866,0.51336,0.55081,0.49493
0.36596,0.32189,0.37176,0.33578,0.3393,0.56057,0.56539,0.56785,0.55195,0.55093
0.35629,0.32776,0.37236,0.32965,0.33579,0.55724,0.57401,0.58085,0.57498,0.5194
0.38918,0.37567,0.38991,0.37771,0.38277,0.51297,0.54582,0.54988,0.51342,0.46996
0.29025,0.26672,0.33386,0.26868,0.28106,0.64362,0.65858,0.5768,0.61069,0.62987
0.27836,0.28316,0.31041,0.26646,0.25914,0.62781,0.67201,0.61101,0.63223,0.56823
0.28297,0.27863,0.32439,0.29505,0.23994,0.63876,0.67978,0.64848,0.58405,0.5559
0.2852,0.30215,0.31746,0.29313,0.26134,0.63222,0.69387,0.5999,0.57684,0.55177
0.3894,0.37576,0.38624,0.36765,0.39282,0.53807,0.54232,0.50118,0.51897,0.50729
0.3897,0.37942,0.3819,0.37498,0.38994,0.53099,0.54265,0.51366,0.52283,0.48359
0.39922,0.3826,0.39106,0.3824,0.39295,0.52977,0.53808,0.51685,0.50215,0.4737
0.35545,0.35549,0.35836,0.35359,0.35001,0.57643,0.58647,0.53771,0.53784,0.50136
0.41521,0.40829,0.40138,0.39717,0.41715,0.50292,0.5173,0.4951,0.49639,0.45964
0.44042,0.42749,0.43353,0.40899,0.45991,0.46958,0.48588,0.46012,0.47716,0.47122
0.44633,0.42296,0.45059,0.38836,0.48438,0.47274,0.47517,0.45399,0.50288,0.48961
0.43842,0.42985,0.42679,0.40737,0.44567,0.46672,0.4884,0.47084,0.51126,0.44972
0.44008,0.41994,0.43556,0.39765,0.46683,0.46652,0.48615,0.49219,0.47801,0.46938
0.44484,0.42803,0.44154,0.4051,0.46253,0.45605,0.47973,0.49355,0.49729,0.44011
0.43863,0.42873,0.43526,0.4174,0.44209,0.4544,0.49552,0.50861,0.47308,0.42597
0.42462,0.40693,0.4333,0.37892,0.46052,0.48924,0.51608,0.46248,0.48067,0.50738
0.41644,0.42199,0.42153,0.37676,0.44736,0.46906,0.51924,0.47818,0.52133,0.46641
0.42285,0.41793,0.43541,0.38592,0.46165,0.46021,0.52411,0.52422,0.47899,0.43964
0.39787,0.4335,0.41591,0.38854,0.43584,0.47743,0.55633,0.48787,0.4854,0.44737
0.4384,0.41541,0.42884,0.40177,0.46909,0.49766,0.48339,0.46104,0.48636,0.48076
0.44291,0.4311,0.42924,0.40582,0.4772,0.49214,0.48,0.45697,0.49714,0.44984
0.44428,0.43039,0.43028,0.40698,0.4743,0.47792,0.48084,0.48828,0.47684,0.44075
0.4307,0.44234,0.43238,0.40261,0.49773,0.53058,0.51493,0.45358,0.45428,0.44425
0.43584,0.42577,0.42685,0.41397,0.44767,0.49553,0.49284,0.46568,0.47642,0.44661
0.4892,0.475,0.46611,0.44454,0.53323,0.43674,0.43794,0.41585,0.43795,0.42793
0.48723,0.48229,0.46755,0.44951,0.52604,0.42719,0.43846,0.42607,0.44593,0.40324
0.48353,0.47838,0.46561,0.45072,0.51746,0.42573,0.44463,0.43103,0.43941,0.40433
0.49275,0.49262,0.47554,0.4533,0.54766,0.41951,0.43831,0.41449,0.42589,0.39844
0.47993,0.47712,0.45479,0.44705,0.52765,0.45001,0.44773,0.42918,0.44101,0.404
0.47314,0.46733,0.45457,0.43993,0.50375,0.43547,0.45712,0.43875,0.44891,0.41465
0.44305,0.42267,0.43635,0.42054,0.44263,0.46806,0.48313,0.46089,0.47955,0.47563
0.45486,0.42998,0.45996,0.43613,0.43322,0.44968,0.46719,0.45623,0.49204,0.47099
0.43501,0.42456,0.42775,0.42108,0.42982,0.47291,0.489,0.47223,0.5065,0.45226
0.44324,0.40808,0.45716,0.43052,0.40059,0.45281,0.48923,0.50499,0.47497,0.4585
0.45198,0.43172,0.45817,0.44437,0.4186,0.43304,0.4782,0.50695,0.48615,0.42774
0.43866,0.42593,0.43259,0.42875,0.41996,0.45678,0.49785,0.50696,0.4725,0.42807
0.42913,0.42772,0.46482,0.43366,0.39306,0.45499,0.51706,0.4592,0.47072,0.4634
0.42452,0.4396,0.46034,0.44825,0.37703,0.44929,0.5282,0.47379,0.49992,0.42421
0.43408,0.44523,0.46654,0.46656,0.37829,0.43265,0.51926,0.52278,0.46651,0.40072
0.39888,0.43614,0.42855,0.42786,0.35785,0.45585,0.57646,0.50786,0.49085,0.43072
0.44623,0.42332,0.45025,0.43865,0.435,0.49229,0.47856,0.45215,0.46947,0.47132
0.44606,0.43107,0.44172,0.43454,0.43401,0.47949,0.47857,0.4611,0.48704,0.43859
