Obj1,Obj2,Obj3,Obj4,Obj5
0.25437,0.56212,0.50877,0.48872,0.30221
0.30272,0.48069,0.38859,0.4197,0.37679
0.26076,0.52221,0.41961,0.4661,0.34118
0.22967,0.55356,0.45547,0.50674,0.30769
0.27478,0.51021,0.42531,0.45164,0.34585
0.23297,0.55558,0.4656,0.50442,0.30448
0.24883,0.54739,0.47261,0.48446,0.31252
0.27749,0.49718,0.4087,0.44535,0.35562
0.25123,0.52273,0.43211,0.47501,0.33178
0.25652,0.51664,0.42838,0.46714,0.33709
0.26718,0.50374,0.41589,0.45598,0.34778
1,0,0,0,1
0.75741,0.11077,0.085317,0.16305,0.77549
0.55433,0.23352,0.18209,0.27155,0.60546
0.41991,0.3392,0.28457,0.35348,0.48335
0.33481,0.41368,0.35019,0.42672,0.40986
0.2936,0.45265,0.38369,0.45018,0.37547
0.28668,0.46081,0.39389,0.45705,0.36743
0.84661,0.11455,0.18137,0.068672,0.81229
0.69047,0.2003,0.23912,0.21612,0.65656
0.50598,0.2942,0.30002,0.338,0.52733
0.3784,0.38691,0.34624,0.40531,0.43185
0.30835,0.44027,0.38382,0.44848,0.38259
0.28396,0.46479,0.40022,0.46373,0.36278
0.64736,0.2336,0.2792,0.19559,0.62847
0.54655,0.30574,0.35027,0.29619,0.52928
0.41261,0.37759,0.37875,0.39161,0.43843
0.31787,0.44879,0.41517,0.44897,0.37128
0.28055,0.47526,0.42419,0.47173,0.35029
0.47009,0.33189,0.36257,0.31422,0.49424
0.4018,0.39508,0.39549,0.3686,0.42983
0.33976,0.4457,0.43398,0.4292,0.3768
0.28731,0.47926,0.44481,0.46829,0.34548
0.36929,0.40708,0.39101,0.37585,0.41778
0.33107,0.44468,0.42916,0.4147,0.38167
0.28921,0.47503,0.444,0.45497,0.35129
0.32673,0.43883,0.40852,0.40809,0.3879
0.30129,0.46106,0.42127,0.4347,0.36642
0.30624,0.45229,0.40889,0.42615,0.37494
0.74415,0.17518,0.094534,0.099285,0.75784
0.65956,0.23633,0.16027,0.23348,0.6515
0.4757,0.32105,0.24167,0.33386,0.52159
0.36138,0.39814,0.33394,0.41394,0.4267
0.29167,0.45579,0.38714,0.45437,0.37228
0.27552,0.47532,0.40327,0.47153,0.356
0.75102,0.22959,0.26359,0.16317,0.67514
0.62407,0.29827,0.32315,0.27846,0.56467
0.41736,0.39265,0.36315,0.38219,0.43488
0.31522,0.45627,0.40762,0.46081,0.36822
0.26863,0.48829,0.42551,0.48538,0.34165
0.59297,0.32572,0.3802,0.26076,0.54972
0.4673,0.39621,0.41945,0.36019,0.44717
0.34294,0.45849,0.44015,0.44418,0.36769
0.27893,0.50142,0.46504,0.49013,0.32722
