Obj1,Obj2
0.37255,0.3088
0.37351,0.30796
0.37435,0.30715
0.37533,0.30638
0.37623,0.30551
0.37703,0.30459
0.37784,0.30373
0.37902,0.30306
0.37964,0.30205
0.38074,0.30134
0.38149,0.30032
0.38248,0.29959
0.3834,0.29877
0.38455,0.29812
0.38541,0.29722
0.38631,0.29639
0.38717,0.2955
0.38813,0.29466
0.38899,0.29386
0.38987,0.29307
0.39074,0.29208
0.39179,0.2914
0.39258,0.29041
0.39371,0.28971
0.39471,0.28899
0.39547,0.28802
0.39642,0.28719
0.39743,0.28649
0.39843,0.28566
0.39942,0.28489
0.40042,0.28407
0.40127,0.28321
0.40213,0.28234
0.40309,0.28149
0.40394,0.28066
0.4051,0.28
0.40598,0.27911
0.40697,0.27829
0.40783,0.27741
0.40883,0.2766
0.40987,0.27584
0.41079,0.27504
0.41172,0.27414
0.41263,0.27337
0.4139,0.27272
0.41463,0.2718
0.41561,0.27092
0.41661,0.27018
0.4175,0.26929
0.41838,0.2685
0.41957,0.26778
0.42042,0.2669
0.42153,0.26616
0.42249,0.26532
0.42331,0.26451
0.42428,0.26364
0.42528,0.26283
0.42647,0.2621
0.42719,0.26132
0.4285,0.26056
0.42933,0.25959
0.43035,0.2588
0.43149,0.25814
0.43246,0.25734
0.43351,0.2565
0.4345,0.25571
0.43548,0.2549
0.43624,0.25409
0.43755,0.25336
0.43852,0.25259
0.43933,0.25164
0.44037,0.25083
0.4413,0.25009
0.44273,0.24941
0.44368,0.24854
0.44472,0.24778
0.44571,0.24694
0.44665,0.24611
0.44765,0.24529
0.44865,0.2445
0.44972,0.24373
0.45089,0.24297
0.45178,0.24213
0.45312,0.24142
0.45393,0.24052
0.45507,0.23976
0.45624,0.23904
0.45707,0.23821
0.45828,0.23744
0.45931,0.23663
0.46067,0.23595
0.46141,0.23499
0.46256,0.23425
0.46353,0.23347
0.46455,0.23264
0.46574,0.23186
0.4668,0.23107
0.46781,0.23027
0.46893,0.22948
0.47034,0.22883
0.47121,0.22793
0.47219,0.2271
0.47326,0.22631
0.47431,0.2255
0.47538,0.22475
0.47654,0.22393
0.47777,0.22316
0.4788,0.22237
0.47986,0.22152
0.48098,0.22075
0.48202,0.21989
0.4833,0.21925
0.48437,0.2184
0.48546,0.21762
0.48653,0.21677
0.48745,0.21596
0.4886,0.21528
0.49,0.21448
0.49106,0.21364
0.49209,0.21285
0.49347,0.21213
0.49469,0.21138
0.49534,0.21048
0.49692,0.20973
0.4978,0.20894
0.49903,0.2081
0.50022,0.2073
0.50134,0.2065
0.50275,0.20585
0.50356,0.20499
0.50484,0.20428
0.50613,0.20346
0.50732,0.2026
0.50851,0.20184
0.50969,0.20104
0.51058,0.2002
0.51179,0.19941
0.51269,0.19867
0.51428,0.19783
0.51556,0.1971
0.51688,0.19634
0.51799,0.1955
0.51923,0.19474
0.52023,0.19385
0.5215,0.19307
0.5227,0.19234
0.52413,0.19158
0.52521,0.19075
0.52624,0.18989
0.52743,0.18918
0.52902,0.1884
0.53022,0.18759
0.53141,0.18676
0.5327,0.18602
0.53395,0.18519
0.53507,0.18445
0.53654,0.18367
0.53771,0.18284
0.53903,0.18208
0.54013,0.18123
0.54165,0.18053
0.54273,0.17967
0.54399,0.17882
0.54536,0.17796
0.54658,0.17727
0.54833,0.17662
0.54975,0.17584
0.55042,0.17484
0.5519,0.17411
0.55304,0.17325
0.55424,0.17244
0.55565,0.17163
0.55708,0.17093
0.55803,0.17004
0.55944,0.1692
0.56082,0.1684
0.56255,0.16775
0.56359,0.16685
0.56485,0.1661
0.56616,0.16528
0.56772,0.16447
0.56923,0.16372
0.57045,0.16289
0.57195,0.16212
0.57328,0.16134
0.57468,0.16051
0.57606,0.15969
0.57737,0.15889
0.57882,0.15811
0.58006,0.15722
0.58142,0.15645
0.58292,0.15567
0.58411,0.15488
0.58569,0.15402
0.58725,0.15323
0.58884,0.15247
0.5903,0.15173
