Obj1,Obj2,Obj3,Obj4,Obj5,Obj6
90.9796810,124230.3883497,7.9102943,78.7017982,0.0105529,46.9813791
1577.6666804,65171.6292688,34.2445985,174.4314980,0.0346492,154.2582518
1303.6375322,75499.5395249,33.1193009,148.4883247,0.0280655,124.9477287
86.2137588,124231.6237219,8.4061662,83.0088571,0.0112241,49.9696082
93.0039057,124229.8587423,7.7045264,76.9581002,0.0102649,45.6993763
72.0391611,124235.4803827,10.6830716,96.5247874,0.0138408,61.6193640
91.6650654,124230.2117856,7.8413065,78.1131658,0.0104570,46.5546333
61.8436470,124238.7713826,13.9572981,110.7015751,0.0166866,74.2885679
137.3095515,124219.0678373,4.3599426,63.3496249,0.0045702,20.3463400
302.5227933,115711.5585727,38.4211263,134.7121511,0.0229320,102.0933746
304.8914451,115711.5851068,38.4073413,134.7584175,0.0229690,102.2580702
307.2387048,115711.6105743,38.4055601,134.8738512,0.0230045,102.4162083
1232.8646512,82011.5558562,27.4389618,137.5167367,0.0249445,111.0530179
1595.5626440,64498.0725790,34.3098264,176.2713102,0.0350809,156.1801210
1483.0507348,65174.2056439,40.3729722,179.2291264,0.0352050,156.7324692
1607.5007024,64049.0346637,34.3527582,177.5061709,0.0353687,157.4616194
1578.1272010,65171.6352503,34.3906084,174.4306841,0.0346574,154.2945706
1648.7577347,65170.9557130,32.2294011,173.7269729,0.0344683,153.4529331
1496.4670141,65172.9343485,38.6895787,175.2881257,0.0341878,152.2042226
373.4610419,111890.5193829,37.6372829,122.8983192,0.0221022,98.3991990
1333.3866949,74376.9228420,33.2494023,151.0691918,0.0287664,128.0681179
834.6799699,93693.0032746,34.1467304,119.0923841,0.0232124,103.3415807
1222.0710425,75502.8632826,39.4144387,157.8513672,0.0295016,131.3410965
1374.7349242,69440.3651337,40.0111992,169.7930152,0.0328261,146.1417593
950.6595825,89199.7812124,33.2052324,123.6893226,0.0234883,104.5698620
1675.7787096,62028.4429701,34.3441313,183.8275614,0.0368009,163.8375844
1282.1015192,69443.3020560,38.9682726,174.5771473,0.0337009,150.0361927
85.5731383,124231.8003638,8.4795292,83.6491800,0.0113206,50.3991283
82.1556829,124232.6828147,8.8501577,86.9373697,0.0117998,52.5328572
86.9183962,124231.4474019,8.3342957,82.3746236,0.0111286,49.5443758
84.8717097,124231.9767245,8.5523638,84.2955029,0.0114161,50.8246130
119.5131213,124223.0251729,4.7480022,63.6420156,0.0056624,25.2090222
196.5619229,118394.1820733,21.1930245,90.8384005,0.0145511,64.7816207
100.5054683,124228.1662756,6.8218930,73.9070863,0.0090476,40.2800582
69.9257356,124235.5768683,12.5216978,104.0529025,0.0149125,66.3904925
90.7841444,124230.6815696,7.9788636,79.9717226,0.0106752,47.5259087
129.1859613,124220.9901812,4.5309519,61.6668986,0.0051081,22.7411101
111.5938076,124224.8038979,4.9745007,68.5339106,0.0061545,27.3997513
114.6557047,124224.0927400,4.8839690,66.7560632,0.0059552,26.5127154
104.7290265,124226.8794899,5.2793819,76.4753644,0.0067622,30.1055010
312.6555123,118161.4283744,21.6514497,66.9294143,0.0088775,39.5226601
85.8865449,124231.8440947,8.8927412,82.7093671,0.0117527,52.3230153
121.9101466,124222.4862936,4.6867159,62.6978826,0.0055133,24.5451955
73.2404911,124235.1641483,10.5166544,95.2504831,0.0136592,60.8107665
61.9989243,124238.0948085,13.3019970,110.4800224,0.0160308,71.3691931
1481.7425789,60686.2898976,39.5334191,193.4965837,0.0380462,169.3814961,
1512.4663423,59339.0875968,39.6128816,196.6153067,0.0387251,172.4040263,
1686.5106732,51704.7639530,40.0140188,214.8463225,0.0425115,189.2609883,
1619.9610158,54623.7598036,39.8672930,207.7294464,0.0410602,182.8000272,
1691.6295836,51480.2248948,40.0249015,215.3998851,0.0426228,189.7565885,
2110.0950137,33292.6883540,43.1160049,262.6724480,0.0517334,230.3171084,
2106.2919042,33292.6564115,40.7792852,262.6738696,0.0516724,230.0454741,
2106.2937096,33292.6620269,40.7784647,262.6797134,0.0516743,230.0540494,
896.4672772,86510.0996531,38.3481028,145.6853239,0.0269345,119.9122800,
936.1221942,84713.0969650,38.1911142,148.0832303,0.0271885,121.0432067,
673.3997931,96618.2131020,39.3060764,135.7722339,0.0254964,113.5100848,
941.0704828,84488.4449567,38.1701951,148.3610840,0.0272111,121.1438401,
901.4155658,86285.4476449,38.3266430,145.9405641,0.0269571,120.0129133,
475.1337573,105603.2531337,40.2100387,132.8863774,0.0242354,107.8960576,
965.9066870,83365.3663142,38.0869455,149.9949887,0.0273992,121.9814421,
138.0669628,120877.7759833,38.9150259,141.2964249,0.0220762,98.2831806,
1006.0766113,81568.6266100,38.0636444,152.6891761,0.0278987,124.2049590,
1772.7201084,51255.3555182,36.3261785,213.8174761,0.0431679,192.1836419,
1398.6002014,69443.4401373,35.1793081,173.3518985,0.0348282,155.0552474,
535.9989985,100884.0534730,36.4096472,122.9128629,0.0236505,105.2922023,
3012.7953634,2976.3982005,35.6938544,297.6689343,0.0638464,284.2442035,
3314.6218023,2080.1282446,35.5825040,316.1848358,0.0679807,302.6500105,
3370.7723996,3421.7181371,33.0665110,306.7009304,0.0627584,279.4001851,
532.6404105,100884.3697165,35.5311685,123.0917205,0.0234776,104.5221936,
544.7244730,100883.1196644,36.6004485,121.5196825,0.0236176,105.1454139,
85.6893507,124231.8024028,8.5398064,83.6485422,0.0113229,50.4094691,
111.9456537,124224.6963653,4.9661119,68.7490880,0.0061218,27.2542240,
110.6351925,124225.3162519,5.1405522,70.6182539,0.0064363,28.6542628,
82.3004554,124232.6841128,8.8626145,86.9370532,0.0118022,52.5431979,
80.0712910,124233.0453038,9.0433327,88.1475602,0.0120303,53.5591151,
118.0819974,124223.3486885,4.7863916,64.3355440,0.0057520,25.6080244,
53.9247785,124240.4446054,15.3084812,121.9287826,0.0176660,78.6488402,
55.9820842,124239.6786556,14.3949225,117.5923611,0.0169964,75.6679252,
119.7506255,124222.9714041,4.7417777,63.5353578,0.0056475,25.1426900,
109.1310510,124226.4110840,6.2511503,69.6821319,0.0081575,36.3170227,
88.9458298,124230.9178351,8.1201231,80.5084583,0.0108407,48.2626252,
83.5168253,124232.3295644,8.7003288,85.6044519,0.0116080,51.6786090,
55.2759409,124240.0144113,15.0596662,120.3573548,0.0174248,77.5751660,
95.3971458,124229.3204406,7.3214233,76.4268173,0.0097660,43.4781293,
97.6026779,124228.7442705,7.1180617,74.5916271,0.0094640,42.1335775,
79.8734770,124233.4251850,9.6387394,88.4737196,0.0126607,56.3654982,
96.8883256,124228.9567913,7.1965861,75.2496161,0.0095825,42.6612088,
96.1163322,124229.1283444,7.2530097,75.8050518,0.0096651,43.0289365,
253.2215986,121300.2216126,18.0350505,62.8521669,0.0062865,27.9876617,
255.9473994,121300.2487836,18.2355193,62.8123230,0.0063285,28.1745521,
335.3350297,118156.4037973,21.1304953,63.4781234,0.0074929,33.3583025,
274.2580247,120851.2010897,19.2236319,62.8790893,0.0066006,29.3859350,
257.4889316,121300.2604900,18.2878702,62.7717310,0.0063493,28.2671146,
275.8343370,119503.5154349,16.8706528,63.4919964,0.0066204,29.4742099,
278.7270573,120177.3756825,18.9864218,62.8568590,0.0066487,29.5998124,
454.6838514,115462.1839492,23.8261270,65.6979051,0.0092409,41.1406117,
328.9376795,118158.5603075,21.4971004,61.9479954,0.0081324,36.2055442,
1420.8995954,74826.3282645,31.2829447,133.5842372,0.0286736,127.6549917,
1400.6197193,75724.0267722,31.0702175,131.3557023,0.0280624,124.9338569,
1728.4301160,74823.6542652,29.4228506,149.6849432,0.0296351,131.9355644,
1013.3871195,74836.6650117,45.5795409,162.8804435,0.0334046,148.7171145,
1429.8925489,74825.9262332,31.1116547,133.7266375,0.0285139,126.9437488,
1745.1580056,74819.6833793,29.0296949,149.5150674,0.0285240,126.9888950,
1428.4845325,74825.9685882,31.1406858,133.7320526,0.0285438,127.0769176,
1429.9824107,74825.9479121,31.1368186,133.7086267,0.0285514,127.1107143,
1541.9165821,74823.5326630,30.1109238,136.1975832,0.0282866,125.9318670,
238.1627225,119066.9740302,21.3441072,83.2484536,0.0134737,59.9850185,
638.3757640,106492.4812497,29.8591540,92.8207523,0.0194271,86.4894108,
1550.3412253,75721.8271642,29.4721494,137.7800668,0.0274143,122.0482788,
1325.0843152,91441.5623155,29.5684668,115.6321166,0.0243066,108.2130904,
1707.5321412,75719.9443431,29.1748530,146.4652989,0.0286553,127.5735266,
